pid,group,name,slice,otsu_foreground,huang_foreground,otsu_foreground_ratio,huang_foreground_ratio,otsu_foreground_normalized,huang_foreground_normalized
16,6,1,20,6628,13695,0.10113525390625,0.2089691162109375,0.6808423215202877,0.8044525375939849
16,6,1,21,6519,12226,0.0994720458984375,0.186553955078125,0.6696456086286595,0.7181625939849624
16,6,1,22,5654,10234,0.086273193359375,0.156158447265625,0.5807909604519774,0.6011513157894737
16,6,1,23,5274,8378,0.080474853515625,0.127838134765625,0.5417565485362096,0.49212875939849626
16,6,1,24,4447,6144,0.0678558349609375,0.09375,0.45680534155110425,0.3609022556390977
16,6,1,25,3587,4845,0.0547332763671875,0.0739288330078125,0.3684643040575244,0.2845982142857143
16,6,1,26,2764,3857,0.04217529296875,0.0588531494140625,0.28392398561890086,0.2265625
16,6,1,27,1987,2542,0.0303192138671875,0.038787841796875,0.20410888546481767,0.1493186090225564
16,6,1,28,1323,1647,0.0201873779296875,0.0251312255859375,0.1359013867488444,0.09674577067669173
16,6,1,29,904,1088,0.0137939453125,0.0166015625,0.0928608115048793,0.06390977443609022
16,6,1,30,541,668,0.0082550048828125,0.01019287109375,0.055572675911658966,0.03923872180451128
17,6,2,1,3801,4509,0.0579986572265625,0.0688018798828125,0.3237097598364844,0.26578249336870025
17,6,2,2,5001,6108,0.0763092041015625,0.09320068359375,0.4259070005109862,0.3600353669319187
17,6,2,3,5609,7200,0.0855865478515625,0.10986328125,0.47768693578606714,0.4244031830238727
17,6,2,4,6215,8658,0.0948333740234375,0.132110595703125,0.5292965423266905,0.5103448275862069
17,6,2,5,6049,9997,0.0923004150390625,0.1525421142578125,0.5151592573667177,0.589272030651341
17,6,2,6,5812,10907,0.08868408203125,0.1664276123046875,0.4949753023335037,0.6429118773946361
17,6,2,7,6430,12338,0.098114013671875,0.188262939453125,0.5476068812808721,0.7272620100206307
17,6,2,8,7062,13661,0.107757568359375,0.2084503173828125,0.6014307613694431,0.8052460949012673
17,6,2,9,8608,15089,0.13134765625,0.2302398681640625,0.7330948731050928,0.8894193928676687
17,6,2,10,8701,14909,0.1327667236328125,0.2274932861328125,0.7410151592573667,0.8788093132920719
17,6,2,11,10352,16077,0.157958984375,0.2453155517578125,0.8816215295520354,0.9476569407603891
17,6,2,12,11520,16951,0.17578125,0.2586517333984375,0.9810935104752172,0.9991747715885647
17,6,2,13,11634,16220,0.177520751953125,0.24749755859375,0.9908022483392949,0.9560860595343353
17,6,2,14,11742,16965,0.179168701171875,0.2588653564453125,1.0,1.0
17,6,2,15,11165,16631,0.1703643798828125,0.2537689208984375,0.9508601601090104,0.9803124078986148
17,6,2,16,9419,15749,0.1437225341796875,0.2403106689453125,0.8021631749276102,0.9283230179781904
17,6,2,17,9294,14873,0.141815185546875,0.2269439697265625,0.7915176290240163,0.8766872973769525
17,6,2,18,8070,14220,0.123138427734375,0.21697998046875,0.6872764435360246,0.8381962864721485
17,6,2,19,7823,12758,0.1193695068359375,0.194671630859375,0.6662408448305229,0.75201886236369
17,6,2,20,6206,11421,0.094696044921875,0.1742706298828125,0.5285300630216317,0.673209549071618
17,6,2,21,5791,10717,0.0883636474609375,0.1635284423828125,0.49318685062169987,0.6317123489537283
17,6,2,22,5452,9257,0.08319091796875,0.1412506103515625,0.46431613013115314,0.5456528146183318
17,6,2,23,4774,7640,0.072845458984375,0.1165771484375,0.4065746891500596,0.4503389330975538
17,6,2,24,3891,5892,0.0593719482421875,0.08990478515625,0.33137455288707207,0.3473032714412025
17,6,2,25,3144,4320,0.0479736328125,0.06591796875,0.2677567705671947,0.2546419098143236
17,6,2,26,2810,3230,0.042877197265625,0.049285888671875,0.23931187191279168,0.19039198349543177
17,6,2,27,2260,2605,0.03448486328125,0.0397491455078125,0.19247146993697836,0.1535514294134984
17,6,2,28,1509,1842,0.0230255126953125,0.028106689453125,0.128513030148186,0.10857648099027409
17,6,2,29,876,1015,0.01336669921875,0.0154876708984375,0.0746039856923863,0.05982905982905983
17,6,2,30,325,418,0.0049591064453125,0.006378173828125,0.027678419349344233,0.024638962569997053
